What is your current class standing?,Are you interested in applying to the Informatics major?,What operating system do you typically use?,Using the command-line / terminal,Using git for version control,Creating documents with Markdown,Using the R programming language,"How would you describe your coding/programmingexperience?",How many countries have you visited in your life?,Were you born in Washington state?,How many siblings do you have?,How many inches tall are you?,Do you consider yourself:,Are you a Seahawks fan?
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,Yes,2,65,A dog person...,No
Junior,Maybe,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,5,No,3,70,Both!,Yes
Freshman,Yes,Windows,Have used it a few times,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,No,0,70,A dog person...,No
Sophomore,Yes,Windows,Have used it a few times,Have used it a few times,Have used it a few times,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Yes,1,67,A dog person...,YES!
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Yes,1,66,A dog person...,YES!
Sophomore,Yes,Windows,Intermediate user,Intermediate user,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,No,2,63,Both!,No
Sophomore,No,Mac,Expert user,Expert user,Expert user,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,No,2,74,Both!,Yes
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",10,No,0,61.5,A dog person...,Yes
Junior,No,Windows,Never used it,Never used it,Never used it,Never used it,Never written code,12,No,1,73,A dog person...,No
Senior,No,Windows,Have used it a few times,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,No,5,74,Both!,No
Sophomore,Yes,Mac,Expert user,Expert user,Never used it,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",15,Yes,1,72,A dog person...,YES!
Junior,Yes,Mac,Have used it a few times,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",6,No,3,70,A dog person...,YES!
