"country_name","iso_country_code","population","surface_area_km2","gini_index","happy_planet_index","human_development_index","world_happiness_report_score","sustainable_economic_development_assessment_seda","gdp_billions_ppp","gdp_per_capita_ppp","gdp_growth_annual_pct","health_expenditure_pct_of_gdp","health_expenditure_per_person","education_expenditure_pct_of_gdp","education_expenditure_per_person","school_life_expectancy_years","unemployment_pct","government_spending_score","government_expenditure_pct_of_gdp","political_rights_score","civil_liberties_score","political_stability_absence_of_violence","government_effectiveness","regulatory_quality","rule_of_law","control_of_corruption","judicial_effectiveness_score","government_integrity_score","property_rights_score","tax_burden_score","overall_economic_freedom_score","financial_freedom_score","women_mps_pct_of_all_mps"
"Afghanistan","AFG",3.6e+07,652230,"-","20.2","0.498","2.6617181300000001","-","64.099999999999994","1919","1.5","10.29759481","184","3.78","23.789250463379656","11","8.5","79.3","26.3",5,6,"-2.78","-1.33","-1.34","-1.57","-1.52","28.2","26.2","17.899999999999999","91.8","51.3","10","27.7"
"Albania","ALB",2900000,27398,"29","36.799999999999997","0.78500000000000003","4.6395483019999997","53.1","34.200000000000003","11840","2.6","6.8244387099999999","774","-","-","16","16.3","72.7","30.1",3,3,"0.4","0.08","0.22","-0.4","-0.42","25.4","39.9","54.1","85.1","64.5","70","27.9"
"Algeria","DZA",4.1e+07,2381740,"35.299999999999997","33.299999999999997","0.754","5.2489123339999999","45.8","612.5","15027","3.7","7.0566878600000003","1031","-","-","14","11.2","45.9","42.5",6,5,"-0.96","-0.6","-1.2","-0.86","-0.61","35.200000000000003","29","27.8","74","44.7","30","25.8"
"Andorra","AND",77000,468,"-","-","0.85799999999999998","-","-","-","-","-","11.974776049999999","5949","2.9978098869999998","-","-","-","-","-",1,1,"1.45","1.94","1.21","1.6","1.24","-","-","-","-","-","-","32.1"
"Angola","AGO",3e+07,1246700,"42.7","-","0.58099999999999996","-","28.4","187.3","6844","3","2.94697845","196","-","-","10","6.6","69.099999999999994","32.1",6,6,"-0.28999999999999998","-1.03","-1.04","-1.1000000000000001","-1.41","25.4","18.899999999999999","36","82.4","48.6","40","38.200000000000003"
"Antigua & Barbuda","ATG",102000,442.6,"-","-","0.78","-","-","-","-","-","4.8439975999999998","1105","-","-","14","-","-","-",2,2,"0.76","0.01","0.25","0.44","0.24","-","-","-","-","-","-","11.1"
"Argentina","ARG",4.4e+07,2736690,"41.7","35.200000000000003","0.82499999999999996","6.0393300060000001","57.3","874.1","20048","1.2","2.94697845","1390","5.3614401819999999","656.52250661481798","17","6.6","55.6","38.5",2,2,"0.18","0.16","-0.28999999999999998","-0.25","-0.26","44.5","32.6","40.799999999999997","65.7","52.3","60","38.9"
"Armenia","ARM",3e+06,28203,"31.5","25.7","0.755","4.2877364160000004","51.7","25.8","8621","3","10.140838130000001","883","2.2472400669999999","89.770776600267595","13","16.8","80","25.8",5,4,"-0.71","-0.1","0.28000000000000003","-0.16","-0.56000000000000005","47.4","40.5","55.3","84.7","68.7","70","18.100000000000001"
"Australia","AUS",2.5e+07,7682300,"30.3","21.2","0.93899999999999995","7.2570376400000001","78.900000000000006","1187.3","48899","2.5","9.4453332700000008","4492","5.1926698680000003","3236.4742114028095","20","5.7","61.2","36",1,1,"0.9","1.54","1.93","1.68","1.8","93.4","77.400000000000006","78.7","63","80.900000000000006","90","28.7"
"Austria","AUT",9e+06,82445,"30.5","30.5","0.90800000000000003","7.2937278750000001","80.3","417.2","48005","0.9","10.319881669999999","5138","5.4489798550000001","2817.3673823401173","16","6.1","19.399999999999999","51.8",1,1,"1.04","1.46","1.44","1.81","1.53","80.900000000000006","73.5","83.5","49.9","71.8","70","30.6"
"Azerbaijan","AZE",1e+07,82629,"33.700000000000003","-","0.75700000000000001","5.1522793770000002","51.1","165.5","17439","1.1000000000000001","6.6780184699999996","1191","2.6330399510000002","207.78142783177319","13","5.0999999999999996","59.4","36.799999999999997",7,6,"-0.76","-0.16","-0.25","-0.56000000000000005","-0.88","36.799999999999997","39.9","53.6","87.5","64.3","60","16.8"
"Bahamas","BHS",4e+05,10010,"-","-","0.80700000000000005","-","60.4","9","24555","0.5","7.3643025599999996","1699","-","-","-","15.3","82.9","23.8",1,1,"1","0.57999999999999996","0.12","0.19","1.17","53.5","50.9","46.5","96.5","63.3","60","12.8"
"Bahrain","BHR",1300000,760,"-","-","0.84599999999999997","6.2273206710000002","63.9","66.900000000000006","50704","3.2","5.1559720699999998","2453","2.4674599169999998","616.45486311638081","-","1.3","66.400000000000006","33.4",7,6,"-0.95","0.19","0.41","0.45","-0.14000000000000001","55.1","51.8","62.1","99.9","67.7","80","7.5"
"Bangladesh","BGD",1.65e+08,130170,"32.1","38.4","0.60799999999999998","4.3097710610000002","35.299999999999997","628.4","3891","6.4","2.63947252","88","-","-","10","4.0999999999999996","94.2","13.9",4,4,"-1.25","-0.74","-0.81","-0.67","-0.83","32.6","21.2","32.4","72.7","55.1","30","20.3"
